,Accuracy,Avg Precision (weighted),Avg Recall (weighted),Avg F1-score (weighted),Avg Precision (macro),Avg Recall (macro),Avg F1-score (macro)
Model,,,,,,,
KNN,0.9934,0.9929,0.9934,0.9932,0.7716,0.7737,0.7724
Radius NN,0.9876,0.9871,0.9876,0.9863,0.8083,0.6033,0.6532
LDA,0.9415,0.9592,0.9415,0.9487,0.4586,0.6751,0.5153
Logistic Regression,0.9909,0.9941,0.9909,0.9922,0.7695,0.8734,0.7914
SVM,0.9939,0.9944,0.9939,0.9941,0.8359,0.8706,0.8521
Random Forest,0.9985,0.9985,0.9985,0.9984,0.9960,0.8747,0.9196
